name,phone,mobile,email,website,address,lat,lon,osm_id,status,notes
J Shipley & Co.,0,,office@shipley-heating.co.uk,https://shipley-heating.co.uk,"Dean Road, South Shields",54.9863505,-1.4272251,4342719340,drafted,
D McFarlane & Son,+44 191 478 3123,,,https://www.chamberofcommerce.uk/business-directory/england/gateshead/miscellaneous/2352521-d-macfarlane-son,"201, Coatsworth Road",54.9537681,-1.607263,4393276230,new,
EEG,,,,https://eeg.uk.com/,Gateshead,54.9227949,-1.6082924,4401131696,new,
Whickham Plumbing and Heating Services,+44 191 488 8581,,info@whickhamplumbingservices.co.uk,https://whickhamplumbingservices.co.uk,"Swalwell Bank, Whickham",54.9455662,-1.6831651,4423463246,drafted,
Graham The Plumbers' Merchant,,,,,"Penn Street, Newcastle Upon Tyne",54.9629644,-1.6316034,4555490834,new,
Plumbase,,,,,"Penn Street, Newcastle Upon Tyne",54.962787,-1.6318026,4555490835,new,
Wolseley,,,,https://www.wolseley.co.uk/branch/wallsend/,"Buddle Industrial Estate, Wallsend",54.9870708,-1.5339021,4629607070,new,
Alpha Plumbing & Heating Services,+44 191 296 1526,,,https://north-shields.cylex-uk.co.uk/company/alpha-plumbing---heating-services-14200188.html,"Tynemouth Road, North Shields",55.0121309,-1.4424373,4773169063,new,
Encompass Gas,,,,https://encompassgasps.co.uk/,"6, Front Street, Durham, DH7 6LE",54.8174301,-1.6265264,9358970684,new,
Aubrey Cornfoot Ltd,+44191 285 5601,,,https://www.aubreycornfoot.co.uk/,"5-7, Bowsden Terrace, Newcastle upon Tyne, NE3 1RX",55.0073547,-1.60647,225119160,new,
